A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
156	127	519	341	255	999	359	154	171	844	795	77	884	324	507	511	64	192	372
521	932	640	382	189	275	554	455	997	16	299	601	690	510	824	154	563	740	878
361	230	869	929	239	375	883	479	81	658	718	677	915	568	439	175	386	435	463
999	225	63	344	274	541	86	477	139	393	744	456	521	184	58	838	59	429	425
294	421	99	313	815	941	553	52	255	869	87	399	31	116	332	417	789	592	884
51	546	911	469	465	172	140	781	181	481	565	314	795	371	327	229	201	717	589
201	214	55	688	547	504	454	87	736	692	282	161	24	449	549	849	989	98	922
184	88	199	913	279	899	1	42	938	974	507	82	402	326	395	499	574	540	720
460	11	425	970	745	68	384	233	38	77	406	703	112	72	916	139	343	374	685
279	739	485	361	12	940	180	952	448	200	516	66	677	295	480	221	776	16	845
844	229	340	225	84	868	933	748	231	944	394	448	929	691	290	712	559	523	222
29	2	725	24	941	179	445	213	11	139	306	449	901	126	182	718	108	861	966
343	686	603	76	224	507	449	579	858	805	39	947	134	401	490	48	847	536	569
805	336	680	74	362	971	408	933	619	346	896	83	271	84	720	589	48	445	156
236	665	869	494	612	412	661	537	649	863	135	764	801	251	206	441	365	360	385
483	76	729	163	340	479	819	312	83	115	381	289	656	855	600	635	334	742	229
307	603	390	909	80	556	989	252	747	712	921	514	983	882	87	728	389	893	120
915	897	151	641	691	662	780	605	294	724	510	563	432	812	353	227	578	473	125
272	428	267	229	523	836	463	979	243	695	3	512	409	313	586	631	388	530	202
583	896	622	887	206	83	368	380	147	791	297	86	904	273	813	508	108	680	996
20	163	252	423	754	977	940	931	361	379	188	424	32	756	154	229	922	178	583
219	399	365	853	851	910	895	535	507	729	424	253	76	35	516	171	602	447	906
868	561	760	910	412	178	33	527	984	163	176	242	541	604	827	623	989	204	810
578	649	560	338	154	856	386	227	487	933	950	258	48	682	981	772	233	294	238
847	839	617	638	517	612	495	920	791	217	251	588	197	362	970	719	92	50	379
248	78	353	193	11	255	518	764	606	453	390	512	13	222	418	147	328	770	378
559	360	470	884	857	491	620	983	116	87	708	569	601	664	467	505	348	752	77
474	425	626	327	822	777	601	692	737	92	678	271	192	311	918	553	328	97	234
151	0	616	280	507	690	570	111	268	358	505	275	738	927	132	44	496	330	813
197	54	146	862	79	164	117	489	1	209	215	927	200	936	44	900	703	762	498
37	730	964	90	171	538	713	3	781	340	532	378	519	597	337	19	29	268	480
21	819	350	611	951	468	730	88	253	220	839	200	179	922	124	784	895	129	974
102	113	894	721	111	219	938	141	380	529	588	685	206	140	970	715	413	241	18
241	365	645	950	920	860	378	689	361	951	48	761	896	931	639	686	446	32	854
498	948	432	387	950	396	619	971	443	615	799	834	658	653	338	870	804	238	957
266	286	968	272	846	123	132	471	664	319	235	446	517	358	882	43	202	308	198
70	755	696	68	307	540	291	601	777	922	419	151	409	565	855	124	703	498	136
298	807	975	613	606	801	852	121	122	569	706	493	646	894	263	489	160	774	479
288	471	469	635	577	554	480	76	456	585	529	987	643	92	50	67	122	219	310
941	836	266	250	101	519	188	919	647	75	342	985	78	795	63	760	207	121	357
426	721	364	993	422	946	231	755	739	421	82	237	593	18	68	178	219	412	368
104	394	513	932	536	354	41	27	667	156	174	807	816	683	314	59	398	250	120
599	682	700	7	211	792	334	657	987	371	824	770	137	335	758	902	215	861	696
254	204	284	438	110	290	631	389	45	465	401	222	729	356	171	15	770	366	600
545	303	285	323	815	32	509	960	157	634	113	876	752	405	155	259	437	652	687
766	608	651	472	496	576	829	792	300	98	869	868	213	328	802	55	79	649	405
317	225	660	13	567	417	719	141	434	160	286	468	452	532	119	837	357	856	589
966	236	950	374	39	389	803	190	60	636	457	307	22	289	718	990	257	276	839
822	888	166	102	280	905	54	997	850	41	511	408	465	253	394	494	621	258	950
331	403	648	613	29	601	266	713	379	683	887	538	671	324	234	987	805	822	463
284	950	752	925	886	727	118	259	33	947	960	272	137	810	754	655	833	414	543
80	663	390	557	707	159	136	772	783	1000	357	54	245	960	119	276	625	554	456
736	606	833	786	877	893	718	331	832	632	135	389	597	931	980	30	900	972	195
440	643	983	189	691	101	510	941	379	728	517	130	604	367	908	412	975	137	788
978	184	710	649	177	367	327	427	533	597	640	964	765	824	816	880	796	938	518
111	324	819	90	569	222	664	952	566	931	171	265	912	546	624	113	713	124	52
165	808	452	798	971	281	446	687	857	895	982	219	391	625	274	127	846	221	888
321	188	938	292	490	814	564	431	672	609	235	787	423	71	185	317	940	187	798
660	519	172	125	279	779	815	603	191	214	481	921	68	479	418	559	916	219	55
511	426	925	965	200	130	632	844	313	934	741	676	310	109	819	860	388	701	662
82	129	645	476	622	691	70	515	76	547	310	73	503	935	511	612	368	705	589
991	20	26	354	215	585	601	855	432	632	295	8	272	69	732	997	707	823	154
170	637	496	115	536	665	998	232	577	935	55	621	95	541	7	302	257	946	863
886	409	281	406	447	517	416	500	129	52	328	813	238	455	230	246	628	982	117
994	318	851	936	693	172	997	24	836	397	657	120	870	392	751	665	928	217	282
206	35	799	39	843	707	338	453	938	439	347	515	286	708	966	477	350	965	909
543	243	838	92	967	939	224	102	657	691	290	344	251	501	424	215	887	995	595
243	567	324	678	434	114	400	885	477	612	646	505	152	48	589	211	474	66	610
194	305	383	127	864	52	500	687	421	476	247	334	87	321	874	160	826	80	912
724	351	182	776	505	169	542	664	549	752	36	978	290	377	682	123	870	869	400
705	215	952	403	422	443	11	263	510	305	939	599	456	148	746	322	593	198	59
535	373	637	907	481	408	819	318	255	457	532	541	116	937	355	426	223	528	646
447	975	90	124	894	789	438	378	659	74	535	335	4	892	258	896	544	78	980
43	556	568	246	599	835	52	442	66	781	589	713	68	349	779	323	618	208	513
226	334	720	472	19	279	755	384	785	295	242	281	684	376	863	478	907	161	56
55	72	408	153	634	185	284	816	865	76	527	6	521	387	205	689	629	640	773
195	644	696	486	429	164	698	388	62	192	213	422	683	674	767	291	608	855	928
942	677	896	932	919	868	278	243	925	851	614	961	168	394	473	399	474	545	368
192	312	388	757	349	199	957	211	716	384	559	552	37	338	640	936	620	229	143
371	418	476	154	542	436	235	365	697	309	984	123	960	259	696	437	872	875	53
818	461	670	364	615	250	775	289	466	127	477	117	938	543	761	287	225	398	718
113	522	52	397	473	980	625	885	667	290	126	586	495	666	309	608	971	382	976
27	574	540	484	976	143	2	818	306	229	882	997	613	392	482	752	858	4	489
226	765	460	807	512	834	770	371	331	996	45	421	383	484	48	562	279	108	584
652	946	930	766	138	73	839	991	779	515	508	976	395	688	912	467	352	65	677
818	298	614	276	738	223	643	18	868	130	990	640	962	777	821	29	789	823	880
621	881	864	863	596	268	10	484	507	143	207	182	971	803	638	199	994	320	620
189	444	949	801	653	926	386	644	106	35	312	368	871	755	861	800	93	470	108
607	63	414	502	92	24	553	191	932	304	755	978	306	351	729	689	998	544	45
334	886	872	657	726	70	892	833	267	696	388	258	212	962	426	441	133	147	583
457	122	864	856	609	261	437	307	839	606	174	801	312	562	427	74	749	790	944
55	709	635	688	251	596	162	751	245	840	934	449	782	554	17	663	324	117	714
213	452	226	443	758	9	495	16	478	80	649	313	83	685	550	647	807	381	624
833	849	376	20	800	142	347	510	689	378	180	749	89	968	5	602	840	795	1000
412	159	992	601	14	701	778	164	592	541	486	174	605	255	662	510	31	263	478
575	800	751	286	423	501	854	88	687	303	205	980	787	23	361	56	646	83	318
23	827	299	816	62	766	271	712	559	887	830	745	866	642	515	448	514	892	32
280	927	277	141	684	995	795	830	386	815	193	757	986	258	289	636	119	268	369
740	342	719	109	894	146	16	499	837	293	546	217	571	379	324	367	457	208	47
102	381	541	584	776	9	511	516	373	350	919	151	822	651	208	355	790	410	487
672	39	125	885	846	179	965	147	940	875	124	900	706	61	196	374	95	334	625
317	240	0	851	758	157	482	225	832	203	920	792	162	135	545	570	699	795	92
394	391	221	859	753	207	45	721	223	380	841	532	32	324	573	716	398	690	392
574	552	894	328	458	349	133	449	284	989	480	791	977	397	308	689	741	40	191
758	123	782	538	881	156	262	682	636	58	877	520	994	76	246	396	733	249	121
601	73	494	563	438	807	280	591	140	336	778	557	688	755	241	69	548	697	508
8	506	410	875	763	504	991	545	208	283	485	140	182	649	367	724	198	163	117
163	645	852	991	870	689	1	152	971	224	713	814	732	249	341	421	887	648	44
453	741	902	661	441	673	389	353	157	571	424	184	988	530	760	816	832	550	889
289	364	160	642	434	26	83	468	831	781	379	528	747	486	28	646	44	887	488
627	690	36	891	960	507	111	187	434	188	211	893	453	899	305	519	270	793	182
975	664	439	400	650	287	867	104	740	822	277	390	452	812	96	605	606	522	470
672	142	552	488	89	136	479	690	168	806	701	541	861	494	29	843	268	157	667
921	422	38	214	893	999	56	281	356	234	203	69	326	431	593	856	770	127	219
449	218	740	860	934	927	330	103	340	471	11	836	504	367	673	171	567	863	999
985	28	928	964	983	380	487	991	845	305	816	252	210	19	51	961	949	285	822
215	779	446	549	962	919	445	662	555	148	199	749	655	754	356	55	402	247	593
834	357	787	526	489	969	797	413	883	63	71	774	405	950	214	587	889	167	542
363	103	379	695	847	849	309	732	901	878	736	950	757	797	465	407	999	139	548
142	572	865	546	924	640	256	176	117	764	351	617	483	584	243	560	249	8	571
393	513	230	612	776	581	698	886	140	633	293	166	354	602	128	926	302	67	326
868	156	471	507	631	976	796	621	492	440	470	705	735	953	807	390	135	698	488
422	512	233	306	572	227	561	573	717	476	81	531	955	529	610	277	703	133	360
317	496	115	574	596	993	212	141	351	764	408	758	992	853	991	176	520	734	246
274	412	964	155	998	396	213	40	494	927	225	925	929	624	823	260	387	85	407
918	832	166	843	5	143	234	972	904	211	495	865	719	33	319	199	890	767	791
266	6	882	647	451	124	312	945	152	731	221	570	377	760	634	342	774	582	618
528	510	656	224	910	631	522	497	477	716	752	864	240	318	113	86	417	944	984
120	750	483	449	231	730	306	710	220	42	892	400	164	792	784	946	829	291	431
387	847	90	487	938	72	615	439	679	171	601	808	27	813	835	40	664	330	694
338	278	804	162	937	670	573	283	783	134	881	344	801	800	127	87	443	557	679
878	511	932	351	709	354	20	786	894	25	682	505	795	492	506	485	228	848	864
565	596	892	389	447	532	330	46	152	244	414	165	487	280	595	464	815	483	697
891	828	638	418	230	929	402	416	569	563	521	153	877	844	464	720	667	679	301
388	120	55	366	928	732	436	201	274	592	222	773	277	509	677	832	396	386	36
982	302	57	598	441	90	404	413	844	401	801	509	254	689	950	380	898	564	104
924	828	715	609	217	11	95	141	643	241	711	726	885	174	139	509	981	408	164
366	510	3	721	233	422	92	670	512	483	714	996	158	767	709	193	346	701	399
996	419	955	30	749	519	742	710	333	964	142	523	665	673	713	50	565	563	559
609	112	661	438	815	333	249	750	215	801	566	350	447	713	710	267	543	529	572
788	114	584	187	422	366	257	200	124	591	365	126	35	207	359	199	667	570	580
576	477	254	820	892	401	433	933	238	432	952	930	638	762	752	474	269	364	92
238	681	625	983	867	234	965	939	366	638	345	396	923	872	953	611	502	79	390
714	70	316	470	351	512	825	225	259	266	169	472	557	815	135	729	479	808	605
452	352	540	874	97	94	985	344	152	725	765	999	467	764	171	117	283	849	754
554	732	14	27	729	723	576	503	966	915	769	111	558	889	207	142	911	552	580
761	497	527	358	809	639	250	369	800	941	386	356	998	376	183	925	885	167	409
522	458	931	349	464	168	157	23	822	957	103	25	919	454	928	97	762	621	738
410	949	180	368	775	530	498	972	531	513	781	796	125	840	39	814	910	617	353
46	153	303	535	904	759	450	472	923	550	685	188	481	174	350	781	851	597	524
297	651	471	437	661	146	544	863	354	465	766	390	183	977	691	838	775	578	783
147	206	242	694	974	313	920	636	272	264	86	355	253	702	222	943	33	989	706
56	363	776	93	609	499	836	873	372	265	703	720	27	119	429	606	764	544	52
41	620	396	570	781	500	305	949	691	0	322	352	826	990	695	831	33	966	24
10	838	415	407	590	790	71	780	859	7	219	513	144	212	330	921	203	752	187
265	210	269	891	726	758	456	993	679	528	318	539	836	795	78	757	374	985	552
924	842	879	436	72	594	485	166	118	741	419	576	724	70	708	727	473	992	691
131	443	609	402	642	713	589	387	484	229	292	172	591	407	738	340	264	934	541
974	741	134	696	377	530	867	814	402	52	369	631	218	861	482	956	917	813	939
247	106	186	437	200	858	912	483	314	354	20	473	88	261	515	961	90	170	691
445	379	266	452	590	439	101	27	513	556	35	284	670	932	538	252	290	393	910
535	722	541	220	675	495	26	713	596	142	486	237	314	618	962	31	386	359	617
67	168	308	114	458	618	757	571	765	610	372	297	26	966	828	568	715	477	242
70	50	63	846	537	292	320	536	763	55	719	358	794	524	596	390	174	127	517
198	854	475	138	116	788	951	266	792	285	835	96	661	638	758	403	242	383	924
863	292	938	964	703	294	799	491	535	589	759	409	175	906	442	860	66	77	607
854	442	10	919	874	558	948	125	688	179	406	332	583	833	516	941	488	871	237
734	138	807	940	356	888	252	772	614	429	181	86	18	140	647	167	806	837	799
222	422	704	930	274	333	583	675	492	385	229	529	911	156	739	754	690	744	6
505	273	356	728	390	592	864	814	43	985	696	981	57	444	516	11	242	145	765
59	237	977	631	82	932	381	68	64	576	678	684	805	163	49	975	138	731	159
171	381	679	485	692	811	431	905	894	857	803	379	478	664	411	288	78	856	467
517	550	54	368	512	906	905	590	968	641	640	344	229	568	216	922	112	891	761
410	208	452	166	18	380	387	822	880	834	421	157	485	856	514	668	665	825	271
662	721	375	254	746	416	144	272	911	959	361	760	460	916	571	338	14	727	13
353	942	310	643	513	505	679	247	684	795	207	891	440	888	923	146	366	245	824
484	989	73	817	986	468	479	660	582	72	196	317	1000	153	734	78	359	900	949
814	945	923	578	398	446	788	664	107	968	296	921	111	397	754	609	339	935	851
869	883	599	816	390	214	711	559	751	536	864	735	464	579	320	301	740	36	948
956	51	994	184	987	755	673	746	187	341	682	69	656	893	574	127	768	330	83
714	432	597	294	683	920	517	303	462	632	321	556	609	679	177	605	311	354	682
873	762	493	477	615	122	496	687	452	722	533	682	645	393	956	365	869	5	171
483	585	636	767	507	844	522	377	674	10	239	725	505	244	247	921	164	113	543
609	329	226	289	732	960	783	616	353	778	862	321	45	758	185	430	847	177	936
900	987	124	410	537	626	412	210	32	94	819	639	436	427	919	943	560	637	513
276	210	69	277	545	111	218	280	251	567	894	420	961	142	694	530	430	341	232
364	565	377	424	209	765	781	829	226	228	849	739	117	403	183	189	619	488	670
291	664	640	692	192	558	445	832	47	201	596	266	188	299	842	203	77	306	214
658	884	461	479	213	883	900	851	402	429	323	894	214	80	929	623	206	189	148
599	791	837	60	562	254	725	527	59	463	375	792	31	429	769	997	695	525	455
816	779	353	183	644	337	520	249	950	381	302	941	55	300	245	897	27	256	796
934	377	751	941	156	168	980	164	640	991	165	532	238	212	915	463	896	142	982
640	531	820	492	423	869	160	586	690	961	910	937	210	452	623	415	605	912	157
433	880	896	101	239	942	469	152	221	906	810	110	980	317	877	956	514	423	565
132	26	76	301	424	466	895	645	711	460	647	284	954	463	343	640	823	935	691
946	995	143	183	443	323	676	977	343	529	590	598	190	644	796	452	974	548	492
619	427	45	241	719	18	656	563	973	569	572	328	208	248	657	80	859	927	61
207	183	358	957	754	293	21	18	774	551	86	930	965	372	108	483	267	348	540
883	306	447	473	265	500	207	318	72	634	580	619	949	657	716	55	787	326	979
979	340	132	199	206	519	987	887	859	968	595	219	688	532	227	696	300	314	285
130	204	921	825	450	291	297	438	487	637	858	601	385	401	651	108	717	391	228
16	555	838	112	598	476	810	92	29	957	829	807	364	105	343	133	300	80	752
162	481	923	710	386	741	805	859	938	890	702	355	605	273	139	148	33	652	395
835	54	990	545	456	953	975	638	203	186	317	548	160	33	341	765	488	296	844
622	464	186	629	99	882	739	594	971	838	581	14	187	832	883	524	63	636	630
340	651	759	309	743	830	117	19	734	349	473	426	172	565	449	312	966	486	123
956	850	790	143	608	278	573	898	192	715	826	264	16	244	679	481	365	860	458
274	842	21	57	700	751	42	575	241	635	325	849	289	394	262	721	101	124	1
858	228	455	706	641	428	167	417	176	251	606	467	578	342	733	70	447	54	657
159	196	127	762	790	962	18	900	355	282	649	368	183	94	928	86	33	62	705
759	716	621	255	107	535	509	441	208	800	614	893	314	355	180	678	930	262	301
184	51	854	751	126	950	202	409	309	526	310	890	867	83	425	139	999	515	954
856	272	722	229	663	608	906	786	994	922	173	705	262	879	631	862	268	520	959
176	576	796	879	641	710	454	170	602	9	160	396	586	91	728	537	532	951	165
653	797	214	54	918	722	538	101	743	147	553	442	577	747	813	197	542	448	268
165	736	918	51	520	393	840	720	973	652	276	168	855	43	588	263	33	633	534
970	708	467	991	493	180	446	46	465	438	826	528	28	443	292	49	969	126	659
847	288	873	400	579	872	406	696	559	805	389	364	666	245	733	380	974	374	446
813	302	381	880	215	205	411	761	113	629	817	342	802	666	824	988	614	703	315
308	253	826	865	12	345	242	369	631	313	342	480	65	641	540	385	38	850	948
183	377	158	906	922	702	1000	209	392	536	80	344	264	594	233	637	894	661	904
171	704	579	886	415	343	445	533	980	866	922	863	929	910	2	542	253	874	966
882	529	578	51	997	674	256	222	645	163	572	452	245	282	173	398	75	133	89
661	856	834	607	913	131	446	658	310	742	600	140	786	842	748	406	619	29	532
103	528	279	352	989	170	408	61	998	363	717	913	669	355	872	623	159	191	770
340	342	576	724	308	310	944	740	897	172	2	54	199	894	431	500	72	753	517
428	532	396	581	233	314	567	621	130	300	697	631	983	467	460	27	287	727	759
161	452	916	499	194	144	59	627	727	18	826	587	281	477	968	182	937	532	380
153	795	285	54	760	455	248	133	833	856	242	685	463	357	291	973	279	869	553
26	334	321	393	156	280	348	222	374	899	902	930	884	552	185	795	981	463	739
833	66	262	772	378	465	507	520	674	990	722	426	966	251	221	639	234	803	424
11	276	906	110	230	838	864	291	722	862	292	73	982	304	322	794	257	779	849
903	263	160	596	627	720	434	582	780	684	930	828	187	329	2	527	207	18	477
190	957	144	210	902	502	689	682	431	366	559	441	326	521	808	664	123	826	647
854	171	70	501	906	16	524	812	775	523	71	241	198	888	408	223	505	517	609
21	612	6	808	40	892	609	362	702	550	940	541	163	801	424	277	216	283	915
769	690	140	889	151	105	183	992	314	846	541	799	224	594	300	923	500	323	138
365	706	787	887	356	391	202	351	926	491	496	757	954	646	390	553	691	164	844
404	518	255	630	835	834	406	9	195	709	422	482	344	984	40	982	962	764	995
615	47	439	502	610	215	220	70	961	778	835	650	299	740	139	122	373	606	395
182	74	503	940	628	961	548	843	445	3	963	563	881	946	683	404	349	997	397
768	714	105	200	729	215	826	460	752	175	698	639	485	425	288	100	356	27	362
325	204	95	923	548	331	364	430	567	642	796	677	381	481	56	552	708	979	684
701	372	841	269	255	719	731	914	797	42	320	69	376	38	84	929	16	806	284
885	854	541	918	228	281	155	280	940	277	363	547	63	720	349	612	974	791	147
827	656	614	840	968	991	577	786	995	461	720	172	231	989	646	249	333	903	684
421	673	442	460	297	625	348	477	157	959	515	933	568	687	621	856	122	36	651
821	402	33	68	774	965	701	298	482	215	315	47	490	393	204	674	266	494	902
165	442	412	811	508	726	181	692	809	652	493	972	19	764	758	923	12	661	570
760	923	196	325	903	583	113	726	590	415	712	999	306	374	916	756	315	901	319
557	809	63	423	398	384	396	351	203	883	249	118	741	120	716	109	646	931	0
949	817	258	532	373	115	687	840	843	684	483	47	845	977	155	622	145	573	337
606	537	294	102	719	42	379	757	563	789	830	499	969	446	871	49	125	351	833
117	799	888	459	32	984	698	569	471	897	748	189	562	808	691	229	373	558	316
416	163	345	817	182	253	758	365	968	614	239	342	787	269	263	689	304	790	374
850	270	430	437	453	314	980	231	604	76	451	703	573	724	828	683	29	594	991
798	382	443	827	941	306	543	955	672	932	714	6	526	480	257	22	763	994	711
116	114	385	257	510	74	503	788	495	681	11	85	273	212	581	620	667	716	149
665	287	869	813	621	300	45	225	597	683	811	857	472	29	500	360	848	284	796
804	995	827	780	121	942	68	971	640	543	745	69	85	750	575	317	416	570	680
158	425	367	111	852	335	415	803	571	855	137	560	112	136	941	869	374	697	898
523	201	648	980	877	188	303	549	71	119	410	507	608	442	888	91	219	654	699
