A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
146	405	584	150	884	482	458	163	389	102	928	306	416	643	340	512	115	243	768	908
938	756	52	170	201	940	649	397	310	532	890	609	717	580	466	122	573	916	976	636
495	826	311	888	31	501	522	655	348	181	125	166	289	164	766	654	782	789	34	639
728	224	165	177	669	175	41	559	644	432	439	536	224	631	612	507	702	566	98	142
716	132	816	995	393	544	908	816	787	937	660	42	644	108	12	277	326	232	433	682
197	257	660	565	932	615	290	385	95	90	673	67	599	132	733	800	981	763	89	12
158	194	361	112	428	588	507	639	229	972	942	205	492	499	66	164	86	535	455	453
263	444	826	312	115	969	66	407	168	538	641	469	672	934	246	886	381	100	871	803
453	55	67	534	685	579	333	252	186	514	805	899	450	56	753	865	305	15	433	214
744	368	64	832	592	303	574	889	996	841	834	47	651	557	957	896	901	412	458	783
397	454	793	599	325	843	267	475	896	682	807	480	56	785	179	552	959	162	967	892
795	903	395	989	747	354	864	727	742	59	868	490	995	182	615	358	178	456	883	122
625	606	664	137	139	386	525	82	892	675	267	691	815	600	379	673	648	681	80	831
661	955	551	808	695	301	11	90	847	379	565	649	795	919	512	877	319	654	338	690
992	158	623	442	605	394	360	33	558	400	289	788	782	128	815	622	925	137	120	889
302	657	189	918	560	432	58	273	991	978	127	299	162	879	871	141	31	873	365	655
67	618	582	602	102	127	193	368	442	612	571	662	612	61	440	706	916	151	52	175
471	753	359	787	252	226	950	185	443	512	878	103	888	186	652	190	847	803	312	969
946	692	200	837	278	836	721	140	492	510	408	277	435	143	510	707	450	475	402	720
283	555	416	79	811	317	295	107	47	697	688	414	816	51	427	994	231	177	612	862
83	650	770	526	719	57	520	130	345	814	469	376	933	727	318	592	168	384	91	709
72	924	894	755	17	846	79	209	210	217	45	437	886	600	952	886	359	890	610	546
13	430	468	316	483	599	764	521	506	469	43	368	39	480	885	988	880	937	578	383
805	110	913	852	937	250	988	713	159	247	559	591	545	801	410	544	795	256	78	340
382	105	452	768	425	770	521	468	130	688	694	926	218	447	691	488	543	301	819	67
571	203	939	199	489	689	949	592	79	853	889	366	647	240	42	681	240	829	542	95
602	983	600	676	407	701	72	541	108	421	489	289	511	419	459	500	898	403	631	417
989	771	168	587	618	854	913	216	890	718	217	555	317	113	619	332	831	719	978	726
525	653	194	677	711	329	722	458	232	707	773	365	8	588	959	166	443	750	565	560
418	88	77	450	615	588	381	362	277	294	759	624	790	987	146	509	431	244	692	71
294	638	123	946	644	967	859	964	476	406	337	604	787	735	510	608	922	755	672	27
767	264	818	247	242	650	580	84	3	573	461	477	713	438	772	907	964	869	479	136
732	641	866	290	667	792	681	931	533	753	881	33	712	216	552	62	382	85	989	238
311	802	538	752	340	639	750	172	782	452	551	215	629	234	12	86	836	270	713	349
842	523	12	202	860	299	540	594	901	954	89	703	639	111	142	502	731	151	43	33
109	16	719	397	707	127	563	522	692	62	722	794	413	902	580	408	495	4	394	663
348	811	11	820	992	623	797	537	660	65	176	366	317	900	436	774	811	914	242	459
190	403	832	815	507	716	566	945	772	344	454	200	710	350	937	95	652	958	859	357
945	249	160	288	698	980	785	829	361	984	847	294	534	274	744	608	136	266	470	808
313	58	437	578	224	189	5	694	160	281	877	719	598	178	593	777	304	405	298	951
264	21	500	6	784	374	213	937	359	324	312	401	281	102	449	345	157	525	500	324
824	315	774	651	896	442	829	207	259	42	868	247	973	429	630	743	79	275	99	285
333	886	736	409	960	41	385	120	58	458	834	149	297	728	795	797	282	427	361	245
167	759	297	690	843	420	952	357	785	262	142	193	301	371	465	602	226	846	846	364
91	400	690	877	741	597	750	432	665	554	865	383	104	769	191	436	382	94	936	308
729	938	659	601	763	817	105	946	275	306	398	489	187	810	617	520	714	310	733	993
616	115	209	65	426	395	242	177	580	927	32	41	827	875	909	360	53	459	346	804
319	416	52	602	822	494	539	851	578	661	780	572	836	178	668	88	329	426	740	796
766	211	573	262	211	734	385	291	548	12	816	36	818	932	20	948	609	799	660	657
450	504	109	36	409	339	807	190	337	73	307	225	323	477	491	345	925	15	473	701
431	106	393	790	865	595	3	922	32	912	640	453	863	419	206	654	322	242	86	977
910	813	83	550	268	467	645	797	181	984	451	451	127	295	95	54	398	808	908	434
534	7	458	997	956	641	418	509	540	891	149	564	556	649	78	13	232	967	144	630
887	239	218	537	763	528	800	385	742	528	587	950	343	998	608	604	852	774	621	662
338	842	359	835	359	201	162	866	361	774	456	672	623	144	403	867	725	65	885	393
805	606	172	18	520	930	268	215	805	999	124	397	320	74	778	794	604	402	386	531
427	597	457	311	409	198	689	204	809	918	53	580	7	862	908	403	813	495	458	968
817	471	562	566	219	393	512	45	813	591	706	890	947	598	439	832	457	581	104	361
20	563	963	757	225	93	398	525	665	417	232	821	446	403	219	76	431	25	214	313
943	812	935	604	364	126	701	701	660	978	756	149	945	228	802	224	405	454	646	460
217	620	784	728	487	502	635	476	519	879	767	977	750	286	844	796	195	137	641	228
524	336	305	933	197	285	735	889	200	62	457	171	808	76	15	871	263	796	103	569
456	408	953	280	31	769	261	167	772	98	421	576	846	852	996	533	612	682	166	29
679	280	33	319	123	157	249	741	268	186	338	592	589	182	414	516	316	863	686	536
522	887	69	909	366	777	480	713	89	774	530	454	700	41	588	819	245	595	162	863
625	11	856	717	51	614	251	161	571	575	180	701	34	979	823	432	921	563	682	276
617	791	73	322	964	964	446	980	355	593	109	191	514	644	654	355	670	204	100	929
862	570	714	424	247	57	413	963	633	535	621	618	695	215	981	884	428	637	153	334
465	973	15	851	235	928	351	311	545	524	468	913	627	926	332	93	653	847	604	468
787	488	925	241	407	931	859	640	390	512	851	44	481	97	772	269	104	755	751	861
424	321	577	974	740	582	239	810	753	839	912	245	852	875	486	955	615	48	670	434
8	963	536	364	330	315	384	875	356	898	698	440	336	233	325	635	815	743	342	545
927	654	981	892	422	451	436	517	664	888	612	950	125	431	282	311	214	533	87	248
53	512	53	726	372	39	709	587	726	820	669	678	266	0	142	36	839	972	580	82
225	792	103	505	712	674	367	516	289	828	44	312	582	250	427	744	673	694	660	869
535	26	944	902	767	802	929	914	201	411	17	15	579	308	356	69	855	575	402	405
368	204	836	391	219	747	520	141	843	907	448	770	876	324	388	909	537	93	768	592
706	699	280	944	693	728	527	872	932	459	255	670	791	257	579	306	640	775	273	935
525	971	923	887	339	159	620	447	253	920	40	924	900	401	84	984	384	367	628	413
829	681	451	845	681	47	557	148	673	659	433	914	580	712	666	497	887	653	196	751
799	814	204	792	797	672	577	508	35	599	726	592	973	254	241	332	611	353	709	464
227	410	716	228	827	591	753	122	44	941	193	698	338	515	345	962	903	741	571	24
104	106	18	534	936	509	453	552	352	549	393	940	288	425	846	831	926	212	363	80
125	144	422	795	274	682	140	645	112	970	86	119	251	822	20	649	105	202	588	356
445	318	363	651	101	955	244	391	235	387	590	214	456	716	47	376	108	33	591	429
619	798	343	534	201	861	688	102	30	490	464	741	37	471	848	186	934	845	665	737
443	504	564	904	760	317	832	34	307	634	726	575	531	658	673	521	206	957	122	274
482	400	471	239	60	965	659	563	391	170	177	297	197	670	842	323	833	582	142	680
836	275	231	429	270	380	625	795	325	776	677	216	193	992	69	901	512	533	818	556
597	422	513	27	786	235	52	961	615	715	516	364	51	174	276	749	655	272	169	33
586	147	422	996	663	791	300	964	123	289	327	807	106	78	755	146	233	546	261	352
22	41	406	131	603	584	938	194	82	617	287	646	554	818	649	258	528	609	506	215
193	366	759	522	43	653	573	491	388	790	498	115	530	843	729	704	361	733	925	431
147	275	230	640	665	65	730	263	760	865	522	820	759	984	453	432	668	775	675	194
775	316	287	789	983	925	336	24	224	545	73	363	541	635	995	744	434	355	28	677
243	427	473	13	272	27	655	389	410	761	103	626	455	89	912	461	689	180	895	439
68	112	209	951	510	20	585	45	730	526	860	666	141	187	770	662	561	59	727	942
903	670	463	504	623	567	657	348	332	395	746	393	699	942	602	880	521	803	372	9
156	701	806	25	274	494	649	421	414	67	602	477	457	571	39	71	236	187	53	655
452	535	222	305	998	606	848	819	258	618	656	641	21	907	14	910	286	984	842	963
34	73	364	56	450	819	785	797	18	449	457	331	517	275	14	227	612	222	159	99
13	288	26	465	248	622	320	261	949	436	561	879	417	575	657	514	216	771	923	388
196	605	705	970	563	236	990	5	415	568	498	819	806	839	749	740	634	936	895	634
427	30	379	659	64	515	172	143	277	230	640	376	214	826	321	154	538	821	242	433
867	394	839	849	665	531	837	455	990	542	472	562	324	570	827	676	91	423	890	51
831	552	508	966	341	750	805	278	806	474	935	628	213	470	360	713	466	96	382	957
985	636	447	23	637	461	318	502	197	384	711	802	752	726	604	858	381	204	8	539
60	288	328	169	448	665	322	21	397	867	509	659	630	990	40	503	136	355	711	396
331	483	767	328	326	107	99	631	337	71	647	339	334	450	361	381	193	231	808	91
223	824	357	973	242	296	262	805	122	199	441	899	984	930	718	826	500	484	93	515
350	989	310	499	841	932	63	868	35	404	848	157	522	233	330	135	921	678	70	45
847	845	187	110	225	698	23	571	621	388	974	783	7	64	193	368	849	299	405	593
75	812	180	665	195	749	969	148	206	828	789	571	252	578	254	738	729	758	903	15
647	311	427	234	41	189	627	309	83	291	855	865	589	659	569	914	70	613	549	264
269	310	660	540	483	145	808	59	309	420	866	970	181	130	559	118	455	784	393	982
465	822	562	864	948	661	115	836	240	919	194	697	619	319	562	770	25	246	412	293
256	807	796	200	339	712	974	688	334	613	583	831	737	59	176	481	549	997	997	371
795	567	364	161	932	597	177	835	259	342	759	779	847	11	32	157	740	382	373	539
265	792	25	52	61	123	535	889	163	481	277	564	644	623	24	189	931	570	590	442
923	268	123	34	293	867	419	238	974	751	95	820	21	277	426	194	915	604	755	883
482	795	477	73	24	854	721	496	157	595	917	163	127	653	598	141	151	756	457	717
596	463	784	871	390	488	784	827	205	218	590	901	496	969	226	112	793	885	291	895
725	357	354	626	201	956	51	897	360	435	958	264	546	123	700	727	207	244	285	541
729	559	30	401	406	605	919	220	428	786	883	782	496	138	153	123	991	662	623	362
149	186	214	778	452	966	912	481	60	471	702	259	801	202	870	851	330	588	202	689
94	449	716	408	953	959	773	443	508	390	189	331	274	358	260	159	294	309	23	81
26	99	574	753	931	212	691	744	480	322	933	419	465	324	994	322	365	992	907	932
667	400	305	569	826	163	5	52	124	427	77	874	725	518	419	891	425	331	223	380
292	131	933	423	171	914	905	168	895	488	735	564	170	425	287	144	914	917	973	923
274	468	759	241	576	258	191	910	521	683	248	499	632	619	198	111	910	308	478	21
348	581	588	694	332	356	716	987	261	840	576	954	324	317	472	434	615	4	719	124
206	310	50	640	195	190	836	121	560	488	636	606	919	298	424	118	820	741	963	207
199	0	225	724	134	657	956	336	808	136	391	427	267	379	695	984	783	344	66	144
124	82	535	103	117	506	477	824	360	785	496	920	653	760	30	764	892	893	79	544
916	58	571	870	982	603	61	567	616	20	349	776	725	5	268	555	561	75	784	393
915	324	487	538	683	838	49	745	563	12	630	14	985	62	750	865	730	700	607	160
51	128	409	725	521	789	902	503	672	847	293	739	137	896	453	168	724	340	766	572
589	842	228	917	563	512	597	696	899	954	434	288	259	598	666	147	635	735	313	455
166	187	727	508	237	387	125	582	109	528	363	298	239	436	885	642	997	676	980	831
13	24	328	906	102	259	395	175	198	934	281	766	326	860	508	455	829	521	299	889
25	556	34	664	965	70	630	73	772	525	295	955	908	354	855	923	997	660	537	91
656	638	563	937	85	900	958	944	484	925	508	69	773	237	337	960	51	906	297	181
748	777	361	502	20	173	842	567	822	115	809	941	340	92	578	148	174	992	330	507
22	643	187	382	164	839	874	240	630	278	164	195	423	66	623	398	480	148	854	113
581	821	884	672	550	59	482	266	493	780	763	93	351	920	36	767	499	142	897	563
928	686	563	319	884	494	678	518	918	987	542	351	493	910	761	584	962	704	447	96
607	923	303	672	611	487	860	581	590	294	308	982	943	765	984	548	117	63	343	890
825	935	614	50	339	258	18	610	484	38	974	745	824	611	16	18	590	717	77	564
992	219	213	987	229	159	409	463	70	250	825	974	574	915	570	641	106	956	373	376
143	906	466	587	851	999	707	414	316	573	69	959	933	120	57	991	399	881	234	43
28	651	542	735	887	332	887	70	63	298	780	272	369	591	192	983	997	162	436	368
921	243	600	347	930	299	380	87	698	814	365	646	539	462	980	87	241	405	952	630
485	831	67	996	5	201	98	964	761	682	334	724	105	868	256	444	323	303	906	134
856	355	624	593	86	799	92	28	88	163	873	268	993	166	640	298	535	493	70	716
676	625	471	662	561	75	843	909	739	391	374	368	383	954	198	99	129	738	325	713
824	25	39	861	246	564	781	957	707	118	687	860	777	276	769	99	771	837	28	307
14	504	941	449	201	282	275	742	1	842	946	402	693	43	716	269	417	510	311	305
646	737	722	711	437	911	625	789	420	429	776	705	914	911	619	325	764	509	508	631
834	285	342	891	747	678	942	519	445	286	674	939	954	945	954	563	604	206	578	258
584	7	369	148	8	934	340	777	235	511	820	601	31	878	230	144	487	637	505	904
239	969	26	557	900	434	499	9	737	213	274	709	643	640	645	232	670	66	764	295
849	268	991	377	549	752	470	134	627	196	159	260	251	531	218	573	112	729	217	648
928	504	531	538	402	844	112	905	264	527	598	181	516	865	825	307	127	768	258	936
956	232	294	918	700	768	967	974	722	153	448	650	14	531	114	533	391	445	500	610
689	81	423	678	423	170	559	3	738	50	813	793	375	789	585	379	822	468	381	308
950	78	957	284	687	618	851	491	88	841	743	120	606	115	323	214	238	761	556	668
817	715	148	383	150	709	285	767	414	922	320	683	137	997	612	145	486	704	802	998
903	876	676	190	586	347	726	257	668	653	76	923	825	965	331	637	695	47	909	301
808	976	948	127	933	282	567	390	903	779	370	748	497	521	519	721	538	900	347	107
431	791	36	667	237	789	422	232	628	940	261	498	31	305	988	669	279	64	652	975
607	709	632	664	51	124	141	853	946	65	287	249	298	821	655	737	274	318	73	578
714	626	801	442	455	48	821	775	724	395	142	7	426	523	552	502	375	458	97	174
141	792	398	158	17	571	281	769	836	382	687	425	198	749	702	784	686	914	763	275
414	399	977	940	859	625	950	674	579	150	399	199	151	683	284	501	536	36	862	926
454	592	485	776	955	727	190	113	173	44	114	708	659	777	946	335	703	52	117	840
513	340	60	316	709	599	685	204	651	204	835	653	932	455	703	194	396	967	48	456
779	528	517	790	45	229	491	127	385	350	651	725	183	481	418	723	650	304	140	959
590	135	307	698	3	321	177	301	783	302	277	451	817	915	441	845	129	358	138	982
582	164	2	51	528	176	192	398	420	714	38	432	725	602	530	696	839	216	62	893
990	922	579	883	774	497	842	886	924	200	243	736	137	145	766	0	279	646	359	370
316	657	887	92	52	209	501	676	59	945	699	956	855	655	517	15	835	990	372	939
177	696	713	67	263	739	45	487	434	934	365	202	200	361	27	24	503	367	791	530
3	897	260	904	693	431	207	625	631	109	179	154	987	321	408	281	747	477	257	612
148	741	268	643	828	974	621	543	786	400	28	461	852	514	837	107	155	177	926	782
676	668	954	558	104	367	396	54	330	258	480	987	952	814	395	385	163	51	274	437
649	745	384	994	306	553	962	707	431	406	532	930	838	382	574	187	426	383	1	584
904	328	900	65	988	93	43	335	858	134	391	670	320	741	640	845	464	874	270	795
260	124	295	864	754	86	635	981	487	612	356	33	472	401	849	272	963	767	402	242
708	825	397	286	131	224	31	225	619	368	246	911	294	263	811	269	372	834	877	640
618	187	744	397	638	26	13	574	481	951	651	406	982	426	827	17	503	191	785	603
190	905	222	284	385	474	507	84	335	876	616	953	967	783	42	961	391	448	914	894
282	354	490	166	427	771	147	444	926	725	91	135	982	928	938	844	569	113	187	602
495	697	543	26	201	621	300	577	583	221	877	892	18	26	804	239	744	457	155	802
661	647	695	720	526	368	413	989	401	281	623	523	377	765	703	401	542	223	300	185
353	350	98	452	237	862	988	533	32	736	172	47	153	72	699	267	43	399	493	705
567	349	779	203	657	36	484	713	297	876	261	988	82	990	525	267	143	656	470	51
928	92	701	735	492	397	923	228	305	719	236	614	190	601	84	861	946	458	673	774
726	893	396	151	509	899	273	667	324	916	598	742	787	137	337	470	843	841	521	158
650	221	38	744	842	306	389	629	1	371	348	132	705	593	564	38	918	0	148	90
904	814	17	266	614	243	27	96	747	360	363	438	557	190	9	553	535	139	275	505
825	707	711	176	14	17	713	804	787	385	920	67	663	11	762	226	205	734	8	106
606	879	173	663	468	228	199	822	482	321	928	139	847	566	415	716	537	955	647	110
605	321	897	922	821	863	141	803	515	573	668	86	242	777	969	958	475	76	558	492
61	879	890	704	750	831	648	230	622	586	187	71	523	285	901	51	366	485	687	664
356	614	851	922	681	866	389	199	503	801	552	773	149	922	76	75	323	36	885	873
761	659	696	37	990	522	526	370	414	977	947	574	557	875	384	961	369	455	836	862
748	881	529	695	190	261	683	497	609	95	115	97	78	185	186	489	989	346	985	940
929	800	237	169	802	498	288	711	260	308	626	838	85	63	975	845	204	116	298	510
725	109	191	746	193	833	29	242	18	962	714	643	939	421	993	949	102	837	727	968
280	395	204	764	103	246	92	28	963	396	597	117	442	514	74	752	134	670	766	458
497	446	205	213	777	820	84	325	318	249	121	417	775	731	757	75	325	20	989	526
624	296	80	515	621	763	683	16	273	180	56	94	103	58	477	549	445	506	257	830
237	298	817	956	927	861	961	872	356	507	838	168	469	12	96	300	466	706	733	533
830	760	783	689	991	906	552	791	12	978	420	843	944	948	813	967	803	687	196	807
215	817	875	167	647	405	959	459	332	100	307	242	529	725	248	872	478	402	728	223
795	281	594	130	986	955	87	485	70	180	171	244	187	448	895	406	539	143	772	917
303	164	546	645	231	544	918	455	496	125	754	42	252	130	342	132	0	579	988	74
62	889	665	218	915	709	183	633	411	372	400	974	320	616	406	434	474	188	917	650
448	553	505	306	28	481	932	784	317	271	879	906	438	289	458	245	68	444	119	324
300	947	793	409	427	51	74	131	775	61	665	636	715	65	555	293	960	435	328	832
550	333	838	242	202	329	547	523	433	601	739	747	179	101	586	315	35	856	331	509
707	384	663	729	740	224	954	494	970	875	207	809	230	63	963	708	318	4	599	454
751	632	271	587	402	576	95	296	324	829	46	253	24	168	130	959	63	115	907	961
880	94	804	446	298	67	91	38	30	591	530	499	921	29	270	822	151	432	69	155
588	148	372	510	171	650	326	352	346	358	841	594	524	799	83	268	942	51	714	307
838	500	136	885	484	931	29	930	740	119	247	841	4	930	92	284	241	241	896	873
742	646	538	533	12	459	496	815	877	132	356	279	9	498	30	993	996	280	584	874
167	196	201	877	11	435	593	67	844	657	667	13	106	141	304	143	586	381	712	970
739	98	804	382	973	946	151	955	268	686	755	826	451	640	575	221	690	331	342	15
666	31	347	497	943	455	856	930	924	833	118	163	509	305	503	124	725	898	767	574
504	907	729	326	43	409	254	83	112	190	768	252	109	902	380	937	260	138	838	692
981	788	871	611	455	645	801	382	173	622	699	407	597	217	623	115	925	355	393	827
207	576	219	479	219	83	11	488	450	441	750	664	440	465	901	449	940	146	894	846
554	785	254	274	967	909	289	811	340	912	564	706	667	69	218	762	566	513	603	275
968	896	627	658	195	92	62	943	384	588	441	34	78	967	404	282	489	579	859	324
811	87	412	556	145	881	971	171	652	172	0	758	264	226	18	614	537	874	101	945
457	455	879	989	950	308	601	60	576	183	425	289	688	921	236	517	580	999	864	645
104	505	623	460	982	253	303	321	86	879	663	37	584	310	996	139	318	174	722	724
159	997	102	238	318	972	88	288	721	741	646	60	21	492	883	106	135	355	886	717
205	613	63	949	699	47	204	960	946	726	890	701	51	529	287	671	625	844	516	298
420	13	824	421	657	415	632	764	287	409	803	552	140	43	553	333	430	556	75	737
766	874	5	180	871	151	408	336	741	444	157	350	824	453	684	874	775	208	706	877
609	43	369	325	414	178	897	403	860	442	36	776	263	829	336	117	168	866	293	470
446	768	566	57	49	807	764	465	514	27	374	586	353	717	893	344	359	224	196	433
218	285	164	483	863	388	701	275	921	320	497	539	423	405	971	471	692	248	125	285
936	643	231	62	436	603	315	309	907	184	668	971	20	465	191	125	683	474	594	419
903	771	306	5	862	454	657	964	877	396	555	66	308	236	833	191	254	273	671	9
750	23	336	911	13	314	609	402	280	347	835	240	293	961	930	231	278	391	986	419
735	343	730	188	74	891	888	375	146	259	836	894	636	456	601	783	169	404	46	582
936	484	106	32	616	868	734	61	331	829	876	208	775	557	501	927	30	603	889	114
93	533	447	530	217	720	549	695	773	51	977	621	424	473	381	908	300	673	65	955
217	867	739	129	792	490	601	487	68	824	839	285	170	506	580	48	33	786	735	844
964	843	767	500	597	412	520	315	724	188	649	678	997	214	745	824	503	305	122	161
368	631	887	76	534	840	479	940	344	554	227	242	267	607	100	653	745	260	277	727
652	489	288	544	849	673	508	874	775	960	244	960	438	540	995	275	52	49	988	674
322	789	14	797	686	589	571	806	850	154	210	453	225	796	595	335	26	809	152	74
693	809	611	504	730	961	169	565	873	347	30	254	163	678	899	904	432	415	138	66
242	340	210	169	503	481	269	118	324	33	303	157	404	218	602	973	400	237	716	935
696	632	34	589	264	490	766	208	110	979	75	309	807	237	529	606	977	563	292	513
139	517	383	335	505	693	438	131	756	9	121	276	630	829	868	505	891	908	331	520
403	755	683	828	299	642	972	569	172	872	130	92	563	178	571	115	967	23	643	414
258	899	955	801	342	910	720	592	641	353	263	206	995	740	966	321	500	726	206	621
507	914	916	459	769	723	591	830	787	828	932	571	630	94	878	114	797	783	617	613
94	795	789	612	108	10	591	154	781	574	259	823	714	7	174	115	743	292	600	476
993	688	927	588	988	183	366	931	751	348	876	452	775	393	377	190	727	417	940	545
321	869	359	363	167	593	924	111	58	994	57	872	556	815	414	119	601	201	191	215
367	713	965	353	846	668	848	849	474	205	23	380	278	359	847	236	587	101	873	730
823	849	294	599	776	653	958	671	271	625	390	555	945	561	944	265	648	330	612	49
385	354	197	766	895	529	782	600	605	823	915	850	608	868	419	421	626	838	947	632
283	226	559	770	882	402	193	182	954	119	939	369	736	491	745	340	384	46	680	448
519	35	484	250	970	135	213	557	934	213	336	79	673	520	892	537	222	854	843	318
486	934	49	639	209	998	849	24	989	771	482	803	261	197	576	847	538	542	119	908
919	728	947	230	246	728	779	820	960	619	963	492	810	515	937	476	219	269	295	999
817	75	815	219	220	873	445	651	914	62	117	238	698	273	878	99	972	141	247	798
477	683	981	108	352	291	30	231	384	766	944	718	210	298	379	565	959	363	725	284
464	731	452	326	378	350	758	208	136	836	92	308	368	379	325	666	982	73	519	666
884	683	512	368	523	997	978	716	619	183	877	804	838	463	183	713	995	249	295	435
567	144	271	298	278	847	951	842	14	625	749	762	492	705	698	553	800	327	25	517
876	496	73	985	682	585	890	59	283	783	548	807	203	229	266	403	906	67	622	345
886	136	934	322	828	677	876	309	213	629	43	124	453	380	861	254	967	890	369	167
923	996	786	369	162	16	835	284	721	59	599	633	905	153	701	455	775	1	992	984
390	146	588	332	954	757	92	304	320	368	609	906	698	180	541	59	782	573	966	265
14	819	670	416	962	425	894	157	345	665	459	919	751	594	817	866	376	576	52	33
523	919	517	31	354	243	249	66	765	902	510	861	438	847	422	713	271	315	742	303
591	403	129	228	788	458	933	706	699	473	311	383	403	506	633	499	71	125	498	379
754	673	551	597	940	875	197	104	819	548	512	322	317	714	789	925	465	950	876	39
214	101	433	148	251	829	186	442	174	933	747	921	544	282	813	597	757	538	349	265
905	511	184	106	78	266	156	477	98	880	482	590	822	702	704	222	825	428	835	280
98	73	177	536	853	684	84	0	412	786	195	81	231	664	963	194	447	30	34	128
4	958	940	403	822	464	462	984	792	140	816	200	776	836	784	444	947	915	569	971
702	453	547	58	120	508	507	479	619	92	859	546	33	644	477	705	211	361	704	654
540	505	661	959	92	833	828	770	248	436	199	882	983	592	184	138	408	822	302	901
63	374	635	272	230	781	585	637	992	708	994	557	433	62	615	808	473	821	304	668
87	402	691	272	330	7	904	452	707	651	392	775	678	97	437	860	967	29	365	186
938	973	232	639	354	711	553	208	75	69	938	288	380	225	335	746	171	206	37	716
925	558	603	522	293	970	662	180	849	481	331	566	196	951	606	498	309	201	727	147
751	243	196	920	978	598	113	700	384	81	548	502	329	387	549	210	263	643	786	867
262	540	177	979	867	136	823	768	997	31	550	301	89	68	602	154	711	564	76	873
98	708	712	455	405	295	649	906	577	497	333	581	827	946	291	237	722	506	640	79
926	837	241	745	924	684	58	401	510	0	997	494	31	651	503	257	12	469	636	255
654	855	298	310	901	456	395	657	486	866	429	738	444	600	236	676	293	775	287	18
691	493	807	134	339	314	19	546	634	530	193	693	779	123	783	827	790	554	79	267
75	548	113	22	235	163	755	921	207	864	588	79	802	984	838	623	177	924	385	573
764	137	260	999	916	0	966	62	395	298	259	295	228	364	778	621	103	691	411	701
95	621	774	822	735	804	742	203	734	87	821	758	764	350	529	546	228	322	812	301
81	726	529	152	805	870	474	397	37	731	343	588	840	568	112	849	350	69	844	270
77	797	234	937	831	550	308	713	743	220	412	922	82	738	47	811	939	934	350	808
263	976	267	121	895	383	456	302	363	232	595	133	179	788	510	666	249	36	874	410
483	76	188	795	220	425	240	379	682	968	90	612	826	813	643	921	343	372	560	496
858	984	223	108	587	278	739	814	798	557	190	927	449	28	358	628	610	943	568	662
621	408	913	924	858	630	292	288	333	301	405	580	895	209	132	103	442	464	558	799
938	276	765	268	719	225	103	559	87	473	60	917	640	209	536	436	371	24	409	873
164	396	411	788	854	48	87	961	84	358	482	235	74	133	634	278	633	983	643	121
817	74	671	663	833	297	564	185	746	886	158	81	97	350	190	533	523	417	371	519
948	660	701	101	720	125	17	113	970	146	413	791	666	631	405	558	481	266	854	749
89	564	368	484	408	207	897	500	515	471	156	548	406	854	753	785	809	87	806	769
343	950	459	92	880	987	146	207	438	449	845	782	589	495	154	669	812	187	122	812
536	526	959	933	655	648	19	195	545	48	189	641	923	271	919	515	350	634	731	173
