A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
3	100	5	50	10	8	512	10	1	15	100	4	8	7	0	10	256	50	4
6	100	10	256	9	5	4	8	512	3	512	7	8	512	512	2	1	7	5
3	4	10	5	6	4	2	100	2	9	9	2	15	1	1	3	100	0	0
9	100	0	8	15	5	512	5	6	1	5	9	50	15	6	3	50	15	15
7	512	7	3	100	0	100	9	4	50	4	15	256	100	256	3	512	256	8
512	0	4	50	6	3	9	0	10	10	15	6	2	256	6	6	4	6	50
512	100	15	3	8	9	9	3	5	8	50	512	50	3	5	5	9	512	0
4	15	8	10	15	1	2	9	9	100	15	7	100	2	6	15	15	1	2
50	5	6	9	15	100	6	8	15	5	256	3	9	5	4	512	1	7	3
100	5	15	9	3	15	1	5	5	15	512	256	6	256	1	6	10	10	9
0	1	2	6	100	512	15	7	50	0	512	9	10	0	15	1	5	5	100
256	2	4	4	512	2	100	256	6	15	6	4	512	9	1	8	15	8	100
100	8	10	100	256	4	15	15	100	6	8	100	4	512	10	50	2	7	1
10	3	256	10	8	100	10	100	512	512	10	0	4	50	9	100	4	8	0
1	5	2	1	5	5	4	10	6	7	512	512	9	10	0	256	0	9	2
10	2	100	256	256	9	256	6	50	100	7	6	8	6	7	4	7	4	2
1	8	5	3	15	512	0	5	10	2	0	7	7	1	0	0	5	6	10
6	512	512	6	256	6	50	3	5	3	10	512	15	256	3	50	256	50	100
0	6	7	1	0	1	256	4	100	10	1	512	9	4	9	7	512	100	10
5	0	8	6	15	15	6	15	1	9	4	15	5	4	1	50	7	9	512
9	9	512	6	5	10	15	50	0	15	6	5	3	6	2	10	0	100	0
0	9	8	15	10	256	6	256	9	1	5	15	2	256	50	256	10	2	5
5	5	3	4	5	3	1	3	10	2	2	100	2	15	512	1	3	3	7
4	10	9	256	50	10	100	8	256	6	3	256	6	5	512	8	4	15	256
2	6	5	1	7	512	3	1	0	100	1	8	9	8	5	50	100	512	7
3	2	0	8	9	7	5	10	3	256	2	10	7	0	4	7	7	512	2
7	0	10	8	1	256	2	15	100	4	5	8	1	9	100	6	512	1	4
256	256	1	7	512	3	50	9	15	8	100	3	256	512	7	100	8	15	9
2	15	4	512	1	5	50	6	5	10	0	1	7	9	8	50	2	4	50
100	3	8	0	9	15	256	100	8	5	8	0	9	9	3	10	512	1	5
50	3	512	100	2	100	7	9	9	9	50	50	10	4	1	256	1	15	6
100	7	100	50	8	50	4	8	1	15	7	2	6	8	10	2	6	2	1
1	6	6	100	10	3	15	0	8	50	8	4	0	15	100	1	10	1	100
512	100	2	15	2	100	6	7	8	4	2	8	8	2	256	7	100	100	10
512	1	4	9	100	6	1	2	10	50	512	0	5	100	10	4	0	2	4
7	512	6	256	4	50	5	5	50	512	9	10	512	5	3	256	9	6	15
2	15	15	2	8	512	8	100	2	512	2	4	256	100	7	512	50	10	50
0	8	15	6	2	6	8	256	3	5	1	1	3	512	6	15	8	2	50
5	5	4	8	10	4	9	6	4	256	5	6	256	3	50	0	3	7	100
8	512	9	5	50	2	3	4	4	0	8	4	256	7	8	9	50	0	0
100	7	8	100	6	9	15	512	6	4	15	3	9	50	7	1	1	8	512
0	9	9	15	8	3	7	0	15	50	100	10	512	7	15	4	1	10	8
9	256	512	1	100	5	2	4	256	5	5	6	0	3	0	8	6	8	1
15	50	1	256	256	10	8	2	256	1	3	15	50	7	50	6	100	4	10
3	4	50	6	8	50	10	1	2	1	0	100	0	100	8	50	7	0	256
9	5	3	10	7	512	10	15	7	3	1	512	0	50	100	8	256	6	6
5	10	256	100	1	10	1	2	1	512	100	3	15	7	4	7	15	256	3
50	9	7	512	50	0	9	512	2	8	256	10	100	2	6	10	0	50	512
3	50	10	9	2	256	5	8	7	1	10	10	3	2	50	5	8	3	7
1	2	50	9	0	7	15	3	512	5	15	2	2	5	256	512	50	50	15
50	7	256	0	3	3	50	100	50	8	3	512	4	3	2	0	50	1	15
1	512	0	0	4	2	50	50	3	7	9	256	50	6	4	256	4	9	5
8	7	15	8	6	512	3	100	8	6	7	256	9	5	512	100	2	5	1
